province,date,daily_rainfall,rain_anomaly_mm,rain_intensity_mm_h,daily_tmin,daily_tmax,daily_tmean,temp_anomaly_c,daily_pet,daily_et0,daily_relative_humidity,solar_radiation_w_m2,wind_speed_2m,seasonal_rain_3m,seasonal_rain_6m,relative_humidity_pct,wind_speed_2m_m_s,rainfall_intensity_mm_h,temp_anomaly_deg_c,rain_anomaly_pct,spi_1m,spi_3m,spi_6m,spi_12m,spi_24m,spei_1m,spei_3m,spei_6m,spei_12m,spei_24m
Eastern Cape,2001-01-28,0.0,-1.37,0.0,14.27,27.7,20.98,-0.71,1.5,1.43,58.91,124.37,2.71,59.62,59.62,32.8,2.45,0.0,-0.7,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-29,0.0,-1.98,0.0,15.0,27.87,21.44,-0.7,1.45,1.38,57.86,120.96,3.02,59.62,59.62,35.6,2.45,0.0,-0.68,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-30,0.0,-1.6,0.0,16.3,26.93,21.62,-0.66,1.22,1.16,55.37,111.07,2.44,59.62,59.62,46.9,2.45,0.0,-0.64,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-01-31,0.0,-1.13,0.0,15.05,28.97,22.01,-0.17,1.61,1.53,56.47,127.38,3.76,59.62,59.62,30.4,2.45,0.0,-0.15,-100.0,0.69,,,,,0.78,,,,
Eastern Cape,2001-02-01,0.0,-0.54,0.0,14.94,28.33,21.64,-0.73,1.53,1.46,63.76,124.45,2.65,59.62,59.62,33.1,2.45,0.0,-0.7,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-02,0.0,-1.35,0.0,14.11,28.51,21.31,-1.21,1.56,1.49,61.34,123.85,2.27,59.62,59.62,30.0,2.45,0.0,-1.18,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-03,4.09,2.92,0.94,13.14,26.97,20.06,-1.63,1.03,0.98,82.3,85.75,2.45,63.71,63.71,30.9,2.45,1.02,-1.63,250.29,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-04,0.67,-3.42,0.15,13.17,28.19,20.68,-1.52,1.2,1.14,77.15,93.95,2.87,64.38,64.38,30.0,2.45,0.17,-1.5,-83.62,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-05,1.01,-1.37,0.26,13.26,28.92,21.09,-1.68,1.05,1.0,84.79,80.33,2.25,65.39,65.39,30.0,2.45,0.25,-1.64,-57.65,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-06,0.0,-0.93,0.0,15.54,29.24,22.39,0.19,1.72,1.64,59.32,136.1,3.79,65.39,65.39,31.5,2.45,0.0,0.21,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-07,0.0,-1.3,0.0,13.5,28.88,21.19,-1.1,1.7,1.62,56.92,130.22,2.94,65.39,65.39,30.0,2.45,0.0,-1.08,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-08,0.0,-2.62,0.0,12.65,28.71,20.68,-1.89,1.86,1.77,59.28,141.19,3.51,65.39,65.39,30.0,2.45,0.0,-1.85,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-09,0.0,-4.94,0.0,15.32,28.29,21.8,-1.03,1.6,1.52,59.81,131.23,3.33,65.39,65.39,35.2,2.45,0.0,-0.98,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-10,0.0,-1.38,0.0,14.79,28.38,21.58,-1.36,1.51,1.44,56.85,122.52,3.11,65.39,65.39,32.0,2.45,0.0,-1.3,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-11,0.0,-1.3,0.0,15.77,29.36,22.56,-0.01,1.76,1.68,63.73,139.27,3.25,65.39,65.39,32.0,2.45,0.0,0.03,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-12,0.0,-1.02,0.0,13.12,30.62,21.87,-0.98,2.03,1.93,56.6,143.21,2.91,65.39,65.39,30.0,2.45,0.0,-0.93,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-13,1.43,-3.61,0.34,16.01,31.95,23.98,0.94,1.06,1.01,82.49,74.49,3.42,66.82,66.82,30.0,2.45,0.36,1.0,-71.63,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-14,0.0,-2.52,0.0,14.97,30.65,22.81,0.3,1.94,1.85,61.45,141.66,3.39,66.82,66.82,30.0,2.45,0.0,0.33,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-15,0.0,-0.69,0.0,15.13,30.4,22.76,-0.08,1.83,1.74,56.04,135.46,2.5,66.82,66.82,30.0,2.45,0.0,-0.03,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-16,0.0,-1.72,0.0,13.81,31.16,22.48,-0.38,1.9,1.81,59.1,133.34,3.34,66.82,66.82,30.0,2.45,0.0,-0.33,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-17,0.0,-1.75,0.0,13.64,29.85,21.74,-0.95,1.87,1.78,60.8,137.68,2.63,66.82,66.82,30.0,2.45,0.0,-0.9,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-18,0.0,-1.99,0.0,15.31,29.81,22.56,-0.5,1.92,1.83,60.02,146.75,3.37,66.82,66.82,30.0,2.45,0.0,-0.44,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-19,0.0,-4.26,0.0,14.73,28.66,21.7,-1.49,1.87,1.78,61.66,148.92,2.47,66.82,66.82,30.3,2.45,0.0,-1.43,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-20,0.47,-1.88,0.11,17.19,29.01,23.1,0.22,0.97,0.92,74.06,80.86,2.64,67.29,67.29,40.9,2.45,0.12,0.27,-80.02,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-21,12.06,7.77,3.21,15.31,29.51,22.41,-0.64,1.24,1.18,74.37,95.61,3.66,79.35,79.35,30.0,2.45,3.02,-0.58,181.35,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-22,25.34,19.4,5.89,15.39,28.91,22.15,-1.29,1.02,0.97,84.89,81.1,3.35,104.69,104.69,32.4,2.45,6.34,-1.21,326.6,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-23,4.03,2.46,0.97,13.0,28.06,20.53,-2.6,0.96,0.91,80.53,75.72,2.85,108.72,108.72,30.0,2.45,1.01,-2.54,156.62,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-24,0.0,-3.2,0.0,14.56,29.3,21.93,-0.86,2.02,1.92,62.89,155.11,3.89,108.72,108.72,30.0,2.45,0.0,-0.81,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-25,0.83,-5.3,0.2,16.3,29.06,22.68,-0.34,1.09,1.04,81.6,88.73,2.94,109.55,109.55,36.2,2.45,0.21,-0.28,-86.46,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-26,0.0,-1.46,0.0,16.81,27.85,22.33,-0.9,1.68,1.6,60.55,147.95,2.97,109.55,109.55,44.8,2.45,0.0,-0.84,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-27,0.0,-2.77,0.0,16.45,31.55,24.0,0.55,2.01,1.91,62.62,144.95,4.31,109.55,109.55,30.0,2.45,0.0,0.63,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-02-28,0.0,-2.1,0.0,16.05,28.18,22.12,-1.16,1.8,1.71,63.31,151.61,2.93,109.55,109.55,39.4,2.45,0.0,-1.09,-100.0,0.41,,,,,0.4,,,,
Eastern Cape,2001-03-01,0.0,-0.52,0.0,14.67,29.32,22.0,-0.22,2.05,1.95,62.34,158.0,2.79,109.55,109.55,30.0,2.45,0.0,-0.2,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-02,0.0,-1.3,0.0,12.62,29.15,20.88,-1.22,1.95,1.86,63.04,146.05,2.78,109.55,109.55,30.0,2.45,0.0,-1.2,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-03,0.0,-0.3,0.0,16.02,27.11,21.56,-0.55,1.85,1.76,65.97,165.14,3.33,109.55,109.55,44.6,2.45,0.0,-0.53,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-04,4.1,0.74,1.04,14.37,29.24,21.8,-0.15,1.53,1.46,86.09,117.48,3.08,113.65,113.65,30.0,2.45,1.02,-0.13,22.1,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-05,0.0,-2.04,0.0,16.88,29.44,23.16,1.25,2.02,1.92,62.94,162.75,2.89,113.65,113.65,37.2,2.45,0.0,1.26,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-06,0.0,-2.66,0.0,14.39,28.74,21.56,-0.75,2.0,1.9,60.23,156.95,2.48,113.65,113.65,30.0,2.45,0.0,-0.73,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-07,0.0,-1.05,0.0,13.57,28.81,21.19,-0.56,2.07,1.97,65.44,159.64,3.49,113.65,113.65,30.0,2.45,0.0,-0.56,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-08,0.0,-3.67,0.0,14.81,28.05,21.43,-1.08,2.02,1.92,59.65,165.74,2.58,113.65,113.65,33.8,2.45,0.0,-1.05,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-09,8.09,6.56,2.1,15.28,32.87,24.08,1.81,1.19,1.13,81.04,79.15,2.27,121.74,121.74,30.0,2.45,2.02,1.84,428.07,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-10,0.0,-0.56,0.0,15.87,28.88,22.38,0.24,2.09,1.99,61.72,169.58,3.24,121.74,121.74,35.0,2.45,0.0,0.26,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-11,16.2,12.15,3.63,13.78,29.69,21.74,-0.4,1.65,1.57,81.15,123.1,3.92,137.94,137.94,30.0,2.45,4.05,-0.38,299.68,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-12,0.79,-1.0,0.21,15.79,28.52,22.16,-0.32,1.44,1.37,87.98,118.77,2.63,138.73,138.73,36.3,2.45,0.2,-0.28,-55.87,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-13,0.0,-3.84,0.0,14.01,27.54,20.78,-1.1,1.92,1.83,60.93,159.11,2.96,138.73,138.73,32.4,2.45,0.0,-1.09,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-14,0.0,-1.42,0.0,16.7,29.02,22.86,0.45,2.05,1.95,63.04,168.31,2.5,138.73,138.73,38.4,2.45,0.0,0.48,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-15,7.43,4.89,1.91,15.41,28.15,21.78,-0.68,1.14,1.09,78.92,95.39,3.39,146.16,146.16,36.3,2.45,1.86,-0.65,192.34,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-16,4.47,3.94,1.27,14.4,30.31,22.36,-0.12,1.05,1.0,86.33,76.78,3.34,150.63,150.63,30.0,2.45,1.12,-0.08,737.08,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-17,0.29,-0.69,0.08,15.44,28.8,22.12,-0.3,1.51,1.44,84.24,121.89,2.9,150.92,150.92,33.2,2.45,0.07,-0.27,-70.53,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-18,0.8,-1.91,0.21,15.94,29.29,22.62,0.29,1.1,1.05,88.09,87.89,2.52,151.72,151.72,33.2,2.45,0.2,0.31,-70.48,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-19,0.0,-5.02,0.0,13.52,26.33,19.92,-2.62,2.06,1.96,61.24,178.89,2.67,151.72,151.72,36.0,2.45,0.0,-2.58,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-20,0.0,-0.59,0.0,15.33,30.04,22.68,0.31,2.39,2.28,65.81,181.05,2.46,151.72,151.72,30.0,2.45,0.0,0.34,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-21,0.0,-3.76,0.0,15.89,30.58,23.24,1.14,2.47,2.35,58.71,184.42,2.83,151.72,151.72,30.0,2.45,0.0,1.16,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-22,7.42,6.59,1.83,17.44,29.13,23.28,0.61,1.24,1.18,80.51,103.33,2.39,159.14,159.14,41.6,2.45,1.86,0.65,797.44,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-23,0.0,-1.8,0.0,16.0,30.61,23.3,0.82,2.46,2.34,60.04,183.49,2.94,159.14,159.14,30.0,2.45,0.0,0.85,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-24,0.0,-3.97,0.0,17.11,30.43,23.77,1.33,2.36,2.25,63.42,182.76,2.61,159.14,159.14,33.4,2.45,0.0,1.36,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-25,0.0,-3.09,0.0,17.12,30.5,23.81,1.4,2.56,2.44,64.31,197.82,2.52,159.14,159.14,33.1,2.45,0.0,1.43,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-26,0.0,-1.66,0.0,13.8,29.36,21.58,-0.96,2.36,2.25,63.54,178.93,3.53,159.14,159.14,30.0,2.45,0.0,-0.92,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-27,0.0,-3.14,0.0,16.1,28.49,22.3,-0.27,2.2,2.1,65.78,183.64,2.59,159.14,159.14,38.1,2.45,0.0,-0.24,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-28,8.8,6.25,2.44,16.57,27.01,21.79,-0.41,1.3,1.24,86.92,119.49,2.71,167.94,167.94,47.8,2.45,2.2,-0.39,245.15,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-29,0.0,-0.79,0.0,15.14,28.75,21.94,-0.48,2.5,2.38,63.51,200.34,3.23,167.94,167.94,32.0,2.45,0.0,-0.45,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-30,2.23,-0.01,0.54,14.01,29.58,21.8,-0.57,1.48,1.41,80.51,110.99,2.71,170.17,170.17,30.0,2.45,0.56,-0.54,-0.55,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-03-31,0.0,-3.98,0.0,15.43,28.56,21.99,-0.7,2.38,2.27,62.27,194.39,2.82,170.17,170.17,34.4,2.45,0.0,-0.66,-100.0,0.72,0.66,,,,0.29,0.58,,,
Eastern Cape,2001-04-01,0.0,-2.23,0.0,13.16,23.28,18.22,-1.87,1.82,1.73,64.17,186.35,2.61,170.17,170.17,49.4,2.45,0.0,-1.93,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-02,16.43,14.84,4.62,12.36,23.74,18.05,-1.2,1.16,1.1,83.77,112.22,2.62,185.71,186.6,43.1,2.45,4.11,-1.3,930.74,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-03,2.58,1.57,0.7,12.32,23.47,17.9,-1.49,1.34,1.28,90.05,132.24,2.9,186.41,189.18,44.3,2.45,0.64,-1.58,154.24,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-04,0.0,-2.29,0.0,12.53,24.64,18.58,-0.39,2.13,2.03,67.3,197.44,2.82,186.41,189.18,39.4,2.45,0.0,-0.5,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-05,0.99,-0.05,0.26,14.32,25.35,19.84,0.76,1.13,1.08,80.46,106.18,3.92,187.4,190.17,44.8,2.45,0.25,0.66,-5.14,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-06,0.0,-1.16,0.0,13.25,24.79,19.02,-0.17,2.07,1.97,68.77,194.33,2.65,187.4,190.17,42.3,2.45,0.0,-0.27,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-07,0.0,-0.83,0.0,14.59,23.78,19.19,-0.16,1.98,1.89,66.18,208.03,3.3,187.4,190.17,54.0,2.45,0.0,-0.25,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-08,0.0,-1.31,0.0,12.2,22.04,17.12,-2.03,1.87,1.78,62.37,200.49,2.82,173.02,190.17,50.8,2.45,0.0,-2.13,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-09,0.0,-1.57,0.0,13.83,22.55,18.19,-0.78,1.83,1.74,66.23,201.66,3.07,173.02,190.17,56.4,2.45,0.0,-0.89,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-10,0.0,-0.48,0.0,11.71,25.46,18.58,-0.84,2.4,2.29,63.98,209.42,3.25,142.75,190.17,31.2,2.45,0.0,-0.92,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-11,0.0,-1.11,0.0,14.31,24.06,19.18,-0.16,2.07,1.97,65.35,210.34,2.81,142.75,190.17,51.3,2.45,0.0,-0.25,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-12,0.0,-0.96,0.0,12.66,22.53,17.6,-1.81,1.9,1.81,69.28,200.58,3.31,142.29,190.17,50.6,2.45,0.0,-1.9,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-13,0.0,-2.14,0.0,12.53,22.08,17.3,-1.92,1.96,1.87,63.05,212.59,3.13,135.76,190.17,52.3,2.45,0.0,-2.02,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-14,0.0,-0.26,0.0,13.96,20.57,17.26,-2.1,1.6,1.52,66.01,208.1,2.55,135.76,190.17,67.0,2.45,0.0,-2.2,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-15,0.27,-1.51,0.06,13.55,23.39,18.47,-1.19,1.4,1.33,84.92,143.75,2.57,136.03,190.44,50.8,2.45,0.07,-1.27,-84.8,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-16,0.0,-0.63,0.0,13.11,25.68,19.4,-0.29,2.46,2.34,66.33,218.54,3.32,136.03,190.44,37.2,2.45,0.0,-0.37,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-17,0.0,-1.81,0.0,13.83,25.38,19.6,0.38,2.3,2.19,66.68,212.71,3.16,136.03,190.44,42.3,2.45,0.0,0.29,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-18,19.24,17.88,5.21,13.17,24.22,18.7,-0.65,1.23,1.17,88.35,119.15,2.43,155.27,209.68,44.8,2.45,4.81,-0.74,1309.73,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-19,0.0,-1.52,0.0,12.89,25.87,19.38,0.18,2.45,2.33,63.49,214.88,2.81,155.27,209.68,35.1,2.45,0.0,0.09,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-20,0.0,-2.22,0.0,13.56,25.13,19.34,0.01,2.34,2.23,62.41,217.54,3.99,155.27,209.68,42.2,2.45,0.0,-0.08,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-21,0.0,-1.13,0.0,13.44,22.01,17.73,-1.83,1.93,1.84,67.19,218.09,2.19,155.27,209.68,57.1,2.45,0.0,-1.91,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-22,0.0,-1.62,0.0,12.46,26.22,19.34,-0.23,2.5,2.38,68.91,212.54,2.45,155.27,209.68,31.2,2.45,0.0,-0.31,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-23,7.93,6.44,1.86,13.55,23.49,18.52,-0.97,1.25,1.19,87.82,128.35,3.03,163.2,217.61,50.3,2.45,1.98,-1.05,433.07,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-24,2.9,1.73,0.75,12.29,22.56,17.42,-2.06,1.1,1.05,90.02,114.63,3.29,166.1,220.51,48.7,2.45,0.72,-2.15,147.44,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-25,0.0,-1.55,0.0,12.39,23.33,17.86,-1.6,2.29,2.18,67.53,227.51,4.02,166.1,220.51,45.3,2.45,0.0,-1.68,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-26,5.63,4.37,1.38,13.6,23.99,18.79,-0.79,1.59,1.51,88.97,157.97,4.11,166.52,226.14,48.1,2.45,1.41,-0.87,347.11,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-27,1.29,0.08,0.33,13.86,24.09,18.98,-0.54,1.4,1.33,86.74,139.16,3.17,167.81,227.43,48.8,2.45,0.32,-0.62,6.4,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-28,0.0,-1.76,0.0,13.38,24.03,18.71,-0.51,2.35,2.24,66.29,232.01,2.64,167.81,227.43,46.8,2.45,0.0,-0.61,-100.0,0.69,0.66,,,,0.35,0.41,,,
Eastern Cape,2001-04-29,2.3,-0.53,0.55,14.13,23.92,19.03,-0.51,1.22,1.16,88.68,123.66,2.43,170.11,229.73,51.0,2.45,0.57,-0.59,-18.68,0.69,0.66,,,,0.35,0.41,,,
