province,season_year,season,seasonal_rainfall
Free State,2003,Summer (DJF),249.07691228228938
Free State,2003,Winter (JJA),15.312448778482779
Free State,2004,Autumn (MAM),139.3154757232635
Free State,2004,Spring (SON),95.98087496540582
Free State,2004,Summer (DJF),219.37259070314607
Free State,2004,Winter (JJA),27.44750228576352
Free State,2005,Autumn (MAM),136.08576617329985
Free State,2005,Spring (SON),137.69536729352757
Free State,2005,Summer (DJF),288.7502251684538
Free State,2005,Winter (JJA),15.725750596941797
Free State,2006,Autumn (MAM),145.9514032218246
Free State,2006,Spring (SON),144.1821775447823
Free State,2006,Summer (DJF),317.95392486549235
Free State,2006,Winter (JJA),43.23441092343449
Free State,2007,Autumn (MAM),105.40746359733666
Free State,2007,Spring (SON),209.51502439012012
Free State,2007,Summer (DJF),189.56538123190145
Free State,2007,Winter (JJA),24.70295438491567
Free State,2008,Autumn (MAM),128.94201505531592
Free State,2008,Spring (SON),143.06378847556442
Free State,2008,Summer (DJF),235.33276776486912
Free State,2008,Winter (JJA),20.260620595172327
Free State,2009,Autumn (MAM),86.51363990972736
Free State,2009,Spring (SON),179.69777218743047
Free State,2009,Summer (DJF),284.18126850552676
Free State,2009,Winter (JJA),46.31822077372994
Free State,2010,Autumn (MAM),128.48609424527808
Free State,2010,Spring (SON),118.5127738049722
Free State,2010,Summer (DJF),334.1001853271483
Free State,2010,Winter (JJA),9.885956374658607
Free State,2011,Autumn (MAM),167.71964917494694
Free State,2011,Spring (SON),62.24625775366438
Free State,2011,Summer (DJF),391.1625901815664
Free State,2011,Winter (JJA),27.494313639007387
Free State,2012,Autumn (MAM),75.39524541902385
Free State,2012,Spring (SON),129.03684709868617
Free State,2012,Summer (DJF),214.16231951536943
Free State,2012,Winter (JJA),30.080339204780266
Free State,2013,Autumn (MAM),122.80557183904155
Free State,2013,Spring (SON),103.81520509896636
Free State,2013,Summer (DJF),242.32187748242785
Free State,2013,Winter (JJA),13.236791565614702
Free State,2014,Autumn (MAM),102.43776195066887
Free State,2014,Spring (SON),159.27927191270288
Free State,2014,Summer (DJF),249.60445709623247
Free State,2014,Winter (JJA),12.217393745733668
Free State,2015,Autumn (MAM),124.52649681164498
Free State,2015,Spring (SON),81.04791577239526
Free State,2015,Summer (DJF),203.06939616993182
Free State,2015,Winter (JJA),25.99977540924131
Free State,2016,Autumn (MAM),107.57097139604713
Free State,2016,Spring (SON),113.40275662237875
Free State,2016,Summer (DJF),162.07649626244805
Free State,2016,Winter (JJA),37.49554517297676
Free State,2017,Autumn (MAM),77.04953108293691
Free State,2017,Spring (SON),91.89612902730232
Free State,2017,Summer (DJF),302.0009858322013
Free State,2017,Winter (JJA),8.172098454497116
Free State,2018,Autumn (MAM),191.06965109082918
Free State,2018,Spring (SON),67.64957846052013
Free State,2018,Summer (DJF),255.5151132908689
Free State,2018,Winter (JJA),23.851861574347158
Free State,2019,Autumn (MAM),196.50259349626057
Free State,2019,Spring (SON),55.862011099400206
Free State,2019,Summer (DJF),233.08487277778863
Free State,2019,Winter (JJA),9.312346156326724
Free State,2020,Autumn (MAM),171.94018693166652
Free State,2020,Spring (SON),150.61531350545044
Free State,2020,Summer (DJF),280.9742908380096
Free State,2020,Winter (JJA),12.091146660458081
Free State,2021,Autumn (MAM),89.9478154644402
Free State,2021,Spring (SON),126.46936573430301
Free State,2021,Summer (DJF),345.0194562970906
Free State,2021,Winter (JJA),20.926072817327064
Free State,2022,Autumn (MAM),196.93309708517089
Free State,2022,Spring (SON),184.62641528214567
Free State,2022,Summer (DJF),331.3639708296969
Free State,2022,Winter (JJA),29.30483881388823
Free State,2023,Autumn (MAM),147.57528524085902
Free State,2023,Spring (SON),101.3328248468652
Free State,2023,Summer (DJF),275.1455484218217
Free State,2023,Winter (JJA),13.665091957158005
Free State,2024,Autumn (MAM),125.41054285296475
Free State,2024,Spring (SON),127.75575540512271
Free State,2024,Summer (DJF),243.66575973175108
Free State,2024,Winter (JJA),18.77673764848717
Free State,2025,Autumn (MAM),290.7873847526696
Free State,2025,Spring (SON),265.3738043698255
Free State,2025,Summer (DJF),207.60091207679335
Free State,2025,Winter (JJA),44.41840203361603
Free State,2026,Summer (DJF),80.74122380105652
Gauteng,2001,Autumn (MAM),95.71169027671871
Gauteng,2001,Spring (SON),229.2391618228742
Gauteng,2001,Summer (DJF),158.0161984085662
Gauteng,2001,Winter (JJA),17.725457777221198
Gauteng,2002,Autumn (MAM),109.18591363457256
Gauteng,2002,Spring (SON),103.48754916566226
Gauteng,2002,Summer (DJF),311.46505813552824
Gauteng,2002,Winter (JJA),31.59613925425158
Gauteng,2003,Autumn (MAM),82.75364197254838
Gauteng,2003,Spring (SON),139.12576764518144
Gauteng,2003,Summer (DJF),330.04005093318165
Gauteng,2003,Winter (JJA),13.447145127109682
Gauteng,2004,Autumn (MAM),140.1208808922174
Gauteng,2004,Spring (SON),133.9050327837553
Gauteng,2004,Summer (DJF),313.8434158742096
Gauteng,2004,Winter (JJA),14.884864612899975
Gauteng,2005,Autumn (MAM),140.73528554506635
Gauteng,2005,Spring (SON),128.31286820789754
Gauteng,2005,Summer (DJF),418.14646674143484
Gauteng,2005,Winter (JJA),3.7616420443184713
Gauteng,2006,Autumn (MAM),129.32186529616098
Gauteng,2006,Spring (SON),158.85950321758048
Gauteng,2006,Summer (DJF),445.7968142348767
Gauteng,2006,Winter (JJA),8.739837968390004
Gauteng,2007,Autumn (MAM),98.30980557608704
Gauteng,2007,Spring (SON),234.48774865632805
Gauteng,2007,Summer (DJF),249.78131212210022
Gauteng,2007,Winter (JJA),11.023510539214406
Gauteng,2008,Autumn (MAM),130.67852168140118
Gauteng,2008,Spring (SON),203.79126645015705
Gauteng,2008,Summer (DJF),338.865695746277
Gauteng,2008,Winter (JJA),8.338960824768822
Gauteng,2009,Autumn (MAM),117.06987971255886
Gauteng,2009,Spring (SON),240.60052645657933
Gauteng,2009,Summer (DJF),384.7672930617999
Gauteng,2009,Winter (JJA),21.288930498081758
Gauteng,2010,Autumn (MAM),169.94069991941305
Gauteng,2010,Spring (SON),112.95364372339488
Gauteng,2010,Summer (DJF),422.03202804226237
Gauteng,2010,Winter (JJA),2.6492212141615745
Gauteng,2011,Autumn (MAM),153.9866578284194
Gauteng,2011,Spring (SON),116.53800088728158
Gauteng,2011,Summer (DJF),367.94718083676025
Gauteng,2011,Winter (JJA),11.67309426855321
Gauteng,2012,Autumn (MAM),95.48845199606437
Gauteng,2012,Spring (SON),226.95937359343773
Gauteng,2012,Summer (DJF),267.9804768672924
Gauteng,2012,Winter (JJA),7.922742510277736
Gauteng,2013,Autumn (MAM),120.97289291288851
Gauteng,2013,Spring (SON),174.89393784572871
Gauteng,2013,Summer (DJF),270.38370666646983
Gauteng,2013,Winter (JJA),7.8915615135049935
Gauteng,2014,Autumn (MAM),176.71710655124625
Gauteng,2014,Spring (SON),145.67960327364943
Gauteng,2014,Summer (DJF),309.7997516834709
Gauteng,2014,Winter (JJA),8.470863486189842
Gauteng,2015,Autumn (MAM),119.19152556220261
Gauteng,2015,Spring (SON),126.38688981353224
Gauteng,2015,Summer (DJF),305.7818814170461
Gauteng,2015,Winter (JJA),7.283704447798874
Gauteng,2016,Autumn (MAM),148.04211731569424
Gauteng,2016,Spring (SON),199.43109137855174
Gauteng,2016,Summer (DJF),337.78102704741747
Gauteng,2016,Winter (JJA),15.822177386226533
Gauteng,2017,Autumn (MAM),120.0375091852784
Gauteng,2017,Spring (SON),168.45612031429945
Gauteng,2017,Summer (DJF),460.5910561459928
Gauteng,2017,Winter (JJA),3.2583237225824564
Gauteng,2018,Autumn (MAM),160.7500970329413
Gauteng,2018,Spring (SON),101.75177193677852
Gauteng,2018,Summer (DJF),334.54001885812863
Gauteng,2018,Winter (JJA),12.349008966661257
Gauteng,2019,Autumn (MAM),144.89980679859806
Gauteng,2019,Spring (SON),137.99872524705253
Gauteng,2019,Summer (DJF),410.04732208155684
Gauteng,2019,Winter (JJA),5.648468302202876
Gauteng,2020,Autumn (MAM),159.06222296421194
Gauteng,2020,Spring (SON),297.3295014481143
Gauteng,2020,Summer (DJF),295.0707757441752
Gauteng,2020,Winter (JJA),11.603751467557675
Gauteng,2021,Autumn (MAM),111.42397300142387
Gauteng,2021,Spring (SON),246.71071273419716
Gauteng,2021,Summer (DJF),405.4806371631994
Gauteng,2021,Winter (JJA),5.186812180334889
Gauteng,2022,Autumn (MAM),156.98597949812216
Gauteng,2022,Spring (SON),194.93893225333346
Gauteng,2022,Summer (DJF),359.1696627175003
Gauteng,2022,Winter (JJA),10.872669877839279
Gauteng,2023,Autumn (MAM),161.6203810392101
Gauteng,2023,Spring (SON),98.98250249384236
Gauteng,2023,Summer (DJF),282.95681176150543
Gauteng,2023,Winter (JJA),7.457942455711347
Gauteng,2024,Autumn (MAM),159.02327484859703
Gauteng,2024,Spring (SON),110.50900528517909
Gauteng,2024,Summer (DJF),379.49338148721097
Gauteng,2024,Winter (JJA),9.900701138351922
Gauteng,2025,Autumn (MAM),255.85092943600455
Gauteng,2025,Spring (SON),277.6265563169644
Gauteng,2025,Summer (DJF),412.4023434881919
Gauteng,2025,Winter (JJA),21.092054937005187
Gauteng,2026,Summer (DJF),123.75749801065292
KwaZulu-Natal,2001,Autumn (MAM),142.0100348540146
KwaZulu-Natal,2001,Spring (SON),302.79615289600866
KwaZulu-Natal,2001,Summer (DJF),192.95338051156892
KwaZulu-Natal,2001,Winter (JJA),34.62435726150417
KwaZulu-Natal,2002,Autumn (MAM),125.07092372494856
KwaZulu-Natal,2002,Spring (SON),157.01478259381958
KwaZulu-Natal,2002,Summer (DJF),340.93500447858435
KwaZulu-Natal,2002,Winter (JJA),106.3367456187108
KwaZulu-Natal,2003,Autumn (MAM),106.99653046745702
KwaZulu-Natal,2003,Spring (SON),186.8747684117173
KwaZulu-Natal,2003,Summer (DJF),323.66274040309384
KwaZulu-Natal,2003,Winter (JJA),46.40046572464664
KwaZulu-Natal,2004,Autumn (MAM),115.46370891642509
KwaZulu-Natal,2004,Spring (SON),224.52888289823164
KwaZulu-Natal,2004,Summer (DJF),372.31454225034105
KwaZulu-Natal,2004,Winter (JJA),51.07922430771359
KwaZulu-Natal,2005,Autumn (MAM),145.81964883299707
KwaZulu-Natal,2005,Spring (SON),231.7982363605433
KwaZulu-Natal,2005,Summer (DJF),380.4435899041555
KwaZulu-Natal,2005,Winter (JJA),38.45431276402186
KwaZulu-Natal,2006,Autumn (MAM),172.4587754886819
KwaZulu-Natal,2006,Spring (SON),269.69878832268404
KwaZulu-Natal,2006,Summer (DJF),396.0960477335664
KwaZulu-Natal,2006,Winter (JJA),55.5877847324074
KwaZulu-Natal,2007,Autumn (MAM),146.86959561233232
KwaZulu-Natal,2007,Spring (SON),319.4253173296891
KwaZulu-Natal,2007,Summer (DJF),357.61234064502275
KwaZulu-Natal,2007,Winter (JJA),54.97956135632369
KwaZulu-Natal,2008,Autumn (MAM),194.66249681234092
KwaZulu-Natal,2008,Spring (SON),201.0333806565034
KwaZulu-Natal,2008,Summer (DJF),291.99537943703433
KwaZulu-Natal,2008,Winter (JJA),35.903660318101494
KwaZulu-Natal,2009,Autumn (MAM),111.74191426004258
KwaZulu-Natal,2009,Spring (SON),248.33864816503373
KwaZulu-Natal,2009,Summer (DJF),409.67309956196954
KwaZulu-Natal,2009,Winter (JJA),59.86074019268765
KwaZulu-Natal,2010,Autumn (MAM),144.39116053038296
KwaZulu-Natal,2010,Spring (SON),205.94698081313317
KwaZulu-Natal,2010,Summer (DJF),328.7067800757143
KwaZulu-Natal,2010,Winter (JJA),28.459814232671874
KwaZulu-Natal,2011,Autumn (MAM),181.71361944483183
KwaZulu-Natal,2011,Spring (SON),202.78601667722663
KwaZulu-Natal,2011,Summer (DJF),379.8028262470009
KwaZulu-Natal,2011,Winter (JJA),72.92583088578769
KwaZulu-Natal,2012,Autumn (MAM),142.6827777192158
KwaZulu-Natal,2012,Spring (SON),343.2839731734339
KwaZulu-Natal,2012,Summer (DJF),273.2319095119618
KwaZulu-Natal,2012,Winter (JJA),46.156334290996675
KwaZulu-Natal,2013,Autumn (MAM),173.27896722097634
KwaZulu-Natal,2013,Spring (SON),223.23825442543762
KwaZulu-Natal,2013,Summer (DJF),359.46017213922335
KwaZulu-Natal,2013,Winter (JJA),44.86444962693268
KwaZulu-Natal,2014,Autumn (MAM),160.44795325630903
KwaZulu-Natal,2014,Spring (SON),160.4122288317439
KwaZulu-Natal,2014,Summer (DJF),278.07828622753874
KwaZulu-Natal,2014,Winter (JJA),33.20691634673991
KwaZulu-Natal,2015,Autumn (MAM),158.90327929837255
KwaZulu-Natal,2015,Spring (SON),126.46456355741861
KwaZulu-Natal,2015,Summer (DJF),289.84874904177354
KwaZulu-Natal,2015,Winter (JJA),37.37585096635458
KwaZulu-Natal,2016,Autumn (MAM),131.63019911446415
KwaZulu-Natal,2016,Spring (SON),228.90793152915597
KwaZulu-Natal,2016,Summer (DJF),287.8640469137887
KwaZulu-Natal,2016,Winter (JJA),72.82643590084577
KwaZulu-Natal,2017,Autumn (MAM),153.33495362403585
KwaZulu-Natal,2017,Spring (SON),202.9612859912155
KwaZulu-Natal,2017,Summer (DJF),318.87746694951915
KwaZulu-Natal,2017,Winter (JJA),31.77010799913446
KwaZulu-Natal,2018,Autumn (MAM),207.13058031443285
KwaZulu-Natal,2018,Spring (SON),180.198592687551
KwaZulu-Natal,2018,Summer (DJF),370.37173550937723
KwaZulu-Natal,2018,Winter (JJA),48.304300330653696
KwaZulu-Natal,2019,Autumn (MAM),226.00383533625188
KwaZulu-Natal,2019,Spring (SON),174.84477183120333
KwaZulu-Natal,2019,Summer (DJF),383.34430395882106
KwaZulu-Natal,2019,Winter (JJA),28.375608141136937
KwaZulu-Natal,2020,Autumn (MAM),160.63875683132852
KwaZulu-Natal,2020,Spring (SON),267.319412883635
KwaZulu-Natal,2020,Summer (DJF),319.77630953993713
KwaZulu-Natal,2020,Winter (JJA),34.17201376731298
KwaZulu-Natal,2021,Autumn (MAM),155.68866135611435
KwaZulu-Natal,2021,Spring (SON),195.52338288668756
KwaZulu-Natal,2021,Summer (DJF),412.1995691797819
KwaZulu-Natal,2021,Winter (JJA),53.89469794734416
KwaZulu-Natal,2022,Autumn (MAM),269.07371616637795
KwaZulu-Natal,2022,Spring (SON),244.6458253437325
KwaZulu-Natal,2022,Summer (DJF),389.6891889946407
KwaZulu-Natal,2022,Winter (JJA),50.546636984979344
KwaZulu-Natal,2023,Autumn (MAM),159.26934808252884
KwaZulu-Natal,2023,Spring (SON),222.7269597350877
KwaZulu-Natal,2023,Summer (DJF),483.27945851648144
KwaZulu-Natal,2023,Winter (JJA),44.149168735698765
KwaZulu-Natal,2024,Autumn (MAM),236.0285407222569
KwaZulu-Natal,2024,Spring (SON),248.49101237143523
KwaZulu-Natal,2024,Summer (DJF),380.8905526847944
KwaZulu-Natal,2024,Winter (JJA),31.616627270095133
KwaZulu-Natal,2025,Autumn (MAM),373.37470618926
KwaZulu-Natal,2025,Spring (SON),320.3384427996117
KwaZulu-Natal,2025,Summer (DJF),402.5257691019123
KwaZulu-Natal,2025,Winter (JJA),59.17875370900016
KwaZulu-Natal,2026,Summer (DJF),143.47585233776334
Limpopo,2001,Autumn (MAM),73.72712004624483
Limpopo,2001,Spring (SON),176.5734954632815
Limpopo,2001,Summer (DJF),119.18423380723145
Limpopo,2001,Winter (JJA),7.664128936127847
Limpopo,2002,Autumn (MAM),61.97640452530041
Limpopo,2002,Spring (SON),76.03749459993504
Limpopo,2002,Summer (DJF),168.2538903459262
Limpopo,2002,Winter (JJA),10.792775580308614
Limpopo,2003,Autumn (MAM),52.55623425049023
Limpopo,2003,Spring (SON),113.49695666643657
Limpopo,2003,Summer (DJF),202.37608477516028
Limpopo,2003,Winter (JJA),9.185686039405352
Limpopo,2004,Autumn (MAM),150.07789693743456
Limpopo,2004,Spring (SON),77.2126194384333
Limpopo,2004,Summer (DJF),280.14153737340314
Limpopo,2004,Winter (JJA),7.4930800365295305
Limpopo,2005,Autumn (MAM),69.68141950958943
Limpopo,2005,Spring (SON),87.91844861211761
Limpopo,2005,Summer (DJF),184.9947964592876
Limpopo,2005,Winter (JJA),4.508256498865291
Limpopo,2006,Autumn (MAM),129.6411160138956
Limpopo,2006,Spring (SON),117.30042130935081
Limpopo,2006,Summer (DJF),329.0142073269253
Limpopo,2006,Winter (JJA),6.431773850705255
Limpopo,2007,Autumn (MAM),77.0511164323971
Limpopo,2007,Spring (SON),177.59609654294556
Limpopo,2007,Summer (DJF),179.7236694253959
Limpopo,2007,Winter (JJA),8.563191973756707
Limpopo,2008,Autumn (MAM),91.37760526990772
Limpopo,2008,Spring (SON),125.44104246033613
Limpopo,2008,Summer (DJF),239.69178711982298
Limpopo,2008,Winter (JJA),8.61495461056987
Limpopo,2009,Autumn (MAM),79.99468624097959
Limpopo,2009,Spring (SON),157.34288812237241
Limpopo,2009,Summer (DJF),338.04969470417535
Limpopo,2009,Winter (JJA),15.285369099402553
Limpopo,2010,Autumn (MAM),133.0405083341578
Limpopo,2010,Spring (SON),116.00918697163125
Limpopo,2010,Summer (DJF),225.73381221751455
Limpopo,2010,Winter (JJA),5.932901687037627
Limpopo,2011,Autumn (MAM),97.12259079160293
Limpopo,2011,Spring (SON),110.20943740530808
Limpopo,2011,Summer (DJF),327.3209310248749
Limpopo,2011,Winter (JJA),6.521643289150829
Limpopo,2012,Autumn (MAM),49.91254883484164
Limpopo,2012,Spring (SON),163.0607910531108
Limpopo,2012,Summer (DJF),210.23801267329728
Limpopo,2012,Winter (JJA),4.149760124421311
Limpopo,2013,Autumn (MAM),88.58791637855857
Limpopo,2013,Spring (SON),135.44421716301213
Limpopo,2013,Summer (DJF),275.3215789884976
Limpopo,2013,Winter (JJA),5.4789604573221204
Limpopo,2014,Autumn (MAM),164.65431535165644
Limpopo,2014,Spring (SON),79.36072039572255
Limpopo,2014,Summer (DJF),274.80309406395895
Limpopo,2014,Winter (JJA),5.521155439344355
Limpopo,2015,Autumn (MAM),86.46910646909691
Limpopo,2015,Spring (SON),104.719322250008
Limpopo,2015,Summer (DJF),230.72102205203964
Limpopo,2015,Winter (JJA),5.8532437492590415
Limpopo,2016,Autumn (MAM),107.79325933205155
Limpopo,2016,Spring (SON),120.24499802271065
Limpopo,2016,Summer (DJF),212.8216277401525
Limpopo,2016,Winter (JJA),10.579854627480529
Limpopo,2017,Autumn (MAM),105.75913032811205
Limpopo,2017,Spring (SON),143.82964421966358
Limpopo,2017,Summer (DJF),508.82934936366416
Limpopo,2017,Winter (JJA),5.777847110870027
Limpopo,2018,Autumn (MAM),86.01688647391043
Limpopo,2018,Spring (SON),60.48407892595406
Limpopo,2018,Summer (DJF),308.25232878586934
Limpopo,2018,Winter (JJA),7.896232767632276
Limpopo,2019,Autumn (MAM),79.64177025582093
Limpopo,2019,Spring (SON),116.81733418802371
Limpopo,2019,Summer (DJF),288.9721488044767
Limpopo,2019,Winter (JJA),5.920264798180733
Limpopo,2020,Autumn (MAM),65.79655156460426
Limpopo,2020,Spring (SON),179.03002303313377
Limpopo,2020,Summer (DJF),323.12532286616823
Limpopo,2020,Winter (JJA),10.912267058890421
Limpopo,2021,Autumn (MAM),41.603829830147085
Limpopo,2021,Spring (SON),124.65676727941542
Limpopo,2021,Summer (DJF),534.2398862100301
Limpopo,2021,Winter (JJA),7.209850160562268
Limpopo,2022,Autumn (MAM),102.65257666498961
Limpopo,2022,Spring (SON),102.38561549169025
Limpopo,2022,Summer (DJF),297.26780257582885
Limpopo,2022,Winter (JJA),12.982456917185692
Limpopo,2023,Autumn (MAM),69.79988268830961
Limpopo,2023,Spring (SON),74.32478100387152
Limpopo,2023,Summer (DJF),281.76351319919434
Limpopo,2023,Winter (JJA),8.228293837949032
Limpopo,2024,Autumn (MAM),80.2299977714749
Limpopo,2024,Spring (SON),128.99967735504688
Limpopo,2024,Summer (DJF),314.0930486028277
Limpopo,2024,Winter (JJA),8.884906025716685
Limpopo,2025,Autumn (MAM),96.36730395664998
Limpopo,2025,Spring (SON),181.41253020162134
Limpopo,2025,Summer (DJF),492.59614967737093
Limpopo,2025,Winter (JJA),15.052657226194112
Limpopo,2026,Summer (DJF),118.17681550283294
Mpumalanga,2001,Autumn (MAM),110.0567406076095
Mpumalanga,2001,Spring (SON),247.53509462574075
Mpumalanga,2001,Summer (DJF),185.89304067878166
Mpumalanga,2001,Winter (JJA),25.588768197921127
Mpumalanga,2002,Autumn (MAM),111.65601522179139
Mpumalanga,2002,Spring (SON),141.26135035333692
Mpumalanga,2002,Summer (DJF),315.4326875996831
Mpumalanga,2002,Winter (JJA),42.99337689908412
Mpumalanga,2003,Autumn (MAM),78.9041294764375
Mpumalanga,2003,Spring (SON),161.44568558079607
Mpumalanga,2003,Summer (DJF),355.93882013490196
Mpumalanga,2003,Winter (JJA),23.665266997399083
Mpumalanga,2004,Autumn (MAM),159.8676237752993
Mpumalanga,2004,Spring (SON),168.47809010881795
Mpumalanga,2004,Summer (DJF),404.4043891852264
Mpumalanga,2004,Winter (JJA),30.7867145445896
Mpumalanga,2005,Autumn (MAM),126.07075721971921
Mpumalanga,2005,Spring (SON),188.23535114259903
Mpumalanga,2005,Summer (DJF),373.07581949427623
Mpumalanga,2005,Winter (JJA),19.112347869653203
Mpumalanga,2006,Autumn (MAM),186.801205776577
Mpumalanga,2006,Spring (SON),160.16331929101563
Mpumalanga,2006,Summer (DJF),482.9050955306338
Mpumalanga,2006,Winter (JJA),25.927926472107277
Mpumalanga,2007,Autumn (MAM),116.18949217743813
Mpumalanga,2007,Spring (SON),255.75526883061912
Mpumalanga,2007,Summer (DJF),363.7734084563548
Mpumalanga,2007,Winter (JJA),24.621481271070873
Mpumalanga,2008,Autumn (MAM),163.78121233152328
Mpumalanga,2008,Spring (SON),200.05694830938714
Mpumalanga,2008,Summer (DJF),357.24267432833364
